Show,Code,Name,Cost,OnBox,Img
1,10012,Розетка тройная встравая с заземлением,5.30,48,img/10012-1.png
1,10012,Розетка тройная встравая с заземлением,5.30,48,img/10012.png
1,11101,Вилка прямая с заземлен.,1.55,500,img/11101.png
1,11102 white,Гнездо штепсельное с заземлен.,1.55,400,img/11102.png
1,11102 black,Гнездо штепсельное с заземлен. (Черное),1.55,400,img/11102.png
1,11103 white,Вилка штепсельная с заземлен. с ручкой ( L),1.55,500,img/11103.png
1,11103 black,Вилка штепсельная с заземлен. с ручкой ( L) (Черная),1.55,500,img/11103.png
1,11103-UPS,Вилка штепсельная с заземлен. с ручкой ( L)- UPS,1.55,500,img/11103.png
1,11104,Вилка обычная без заземлен.,1.15,500,img/11104.png
1,11105,Гнездо штепсельное без заземлен .,1.15,500,img/11105.png
1,11109 white,Вилка плоская,01.02,1000,img/11109.png
1,11109 black,Вилка плоская (Черная),01.02,1000,img/11109.png
1,11110 white,Гнездо плоское,01.02,1000,img/11110.png
1,11110 black,Гнездо плоское (Черное),01.02,1000,img/11110.png
1,11111,Гнездо штепсельное с заземлен.,1.50,500,img/11111.png
1,11112 white,Вилка обычная без заземлен. (Ups),1.10,500,img/11112.png
1,11112 black,Вилка обычная без заземлен. (Ups) (Черная),1.10,500,img/11112.png
1,11113,Гнездо штепсельное без заземлен.,1.19,500,img/11113.png
1,11116 white,Вилка прямая с заземлен.,1.55,500,img/11116.png
1,11116 black,Вилка прямая с заземлен. (Черная),1.55,500,img/11116.png
1,11128,Вилка прямая с заземлением с выключателем,4.87,500,img/11128.png
1,11114,"Переходник Ø 4 - Ø4,80",1.63,1000,img/11114.png
1,11115,Вилка американская,1.28,1000,img/11115.png
1,11120,Патрон Е 27 для ламп,1.10,500,img/11120.png
1,11121,Патрон Е 27 для ламп с вилкой штепсельной,1.10,500,img/11121.png
1,11122,Патрон Е 27 для ламп со штангодержателем,1.28,100,img/11122.png
1,11123,Патрон Е 27 для ламп (Поликарбонат),1.10,500,img/11123.png
1,11124,Патрон Е 27 настенный (Поликарбонат),1.19,500,img/11124.png
1,11125,Патрон Е 27 потолочный (Поликарбонат),1.19,500,img/11125.png
1,11126,Основание настенного светильника с патроном Е 27 ( Поликарбонат),1.76,192,img/11126.png
1,11127,Основание потолочного светильника с патроном Е 27( Поликарбонат),1.76,192,img/11126.png
1,11201 white,Выключатель для бра (Белый),1.19,750,img/11201-white.png
1,11201 black/black,Выключатель для бра (Черный),1.19,750,img/11201-black.png
1,11201 red/red,Выключатель для бра (Красный),1.19,750,img/11201-white.png
1,11201 white/red,Выключатель для бра (Белый/Черный),1.19,750,img/11201-white.png
1,11201 black/red,Выключатель для бра (Черный/Белый),1.19,750,img/11201-white.png
1,11202,"Переключатель к удленителю, с подсветкой",1.81,1000,img/11202.png
1,11203,Переключатель к удл. С терминалом с выключателем,1.63,1000,img/11202.png
