Show,Code,Name,Cost,OnBox,Img
1,91101,Коробка под 1-2 автомата с местом под пломбу Наружная,1.15,240,img/91101.png
1,91101-1,Коробка под 1-2 автомата -Бук,2.48,240,img/91101-1.png
1,91101-2,Коробка под 1-2 автомата- Орех,2.48,240,img/91101-2.png
1,91002,Коробка под 2 автомата Наружная,4.43,30,img/91002.png
1,91002-1,Коробка под 2 автомата- Бук,07.08,30,img/91002-1.png
1,91002-2,Коробка под 2 автомата- Орех,07.08,30,img/91002-2.png
1,91102,Коробка под 2 автомата внутренная,4.43,30,img/91102.png
1,91102-1,Коробка под 2 автомата- Бук,5.62,30,img/91002-1.png
1,91102-2,Коробка под 2 автомата- Орех,5.62,30,img/91002-2.png
1,91103,Коробка под 3-4 автомата с местом под пломбу Наружная,1.60,120,img/91103.png
1,91103-1,Коробка под 3-4 автомата- Бук,3.24,120,img/91103-1.png
1,91103-2,Коробка под 3-4 автомата- Орех,3.24,120,img/91103-2.png
1,91004,Коробка под 4 автомата Наружная,7.43,30,img/91002.png
1,91004-1,Коробка под 4 автомата- Бук,10.39,30,img/91002-1.png
1,91004-2,Коробка под 4 автомата-Орех,10.39,30,img/91002-2.png
1,91104,Коробка под 4 автомата,7.43,30,img/91102.png
1,91104-1,Коробка под 4 автомата-Бук,8.75,30,img/91002-1.png
1,91104-2,Коробка под 4 автомата -Орех,8.75,30,img/91002-2.png
1,91006,Коробка под 6 автоматов Наружная,8.41,30,img/91006.png
1,91006-1,Коробка под 6 автоматов- Бук,11.36,30,img/91006-1.png
1,91006-2,Коробка под 6 автоматов- Орех,11.36,30,img/91006-2.png
1,91106,Коробка под 6 автоматов внутреная,8.41,30,img/91106.png
1,91106-1,Коробка под 6 автоматов -Бук,9.86,30,img/91006-1.png
1,91106-2,Коробка под 6 автоматов - Орех,9.86,30,img/91006-2.png
1,91009,Коробка под 9 автоматов Наружная,9.73,30,img/91006.png
1,91009-1,Коробка под 9 автоматов- Бук,13.85,30,img/91006-1.png
1,91009-2,Коробка под 9 автоматов- Орех,13.85,30,img/91006-2.png
1,91109,Коробка под 9 автоматов внутренняя,9.73,30,img/91106.png
1,91109-1,Коробка под 9 автоматов- Бук,11.63,30,img/91006-1.png
1,91109-2,Коробка под 9 автоматов- Орех,11.63,30,img/91006-2.png
1,91012,Коробка под 12 автоматов Наружная,12.38,20,img/91006.png
1,91012-1,Коробка под 12 автоматов- Бук,17.39,20,img/91006-1.png
1,91012-2,Коробка под 12 автоматов- Орех,17.39,20,img/91006-2.png
1,91112,Коробка под 12 автоматов внутреняя,12.38,20,img/91106.png
1,91112-1,Коробка под 12 автоматов- Бук,14.74,20,img/91006-1.png
1,91112-2,Коробка под 12 автоматов- Орех,14.74,20,img/91006-2.png
1,91016,Коробка под 16 автоматом Наружная,17.03,20,img/91016.png
1,91016-1,Коробка под 16 автоматом- Бук,22.20,20,img/91016-1.png
1,91016-2,Коробка под 16 автоматом- Орех,22.20,20,img/91016-2.png
1,91116,Коробка под 16 автоматом внутреняя,17.03,20,img/91116.png
1,91116-1,Коробка под 16 автоматом- Бук,19.55,20,img/91016-1.png
1,91116-2,Коробка под 16 автоматом-Орех,19.55,20,img/91016-2.png
1,91018,Коробка под 18 автоматом Наружная,22.99,10,img/91006.png
1,91018-1,Коробка под 18 автоматом- Бук,32.29,10,img/91006-1.png
1,91018-2,Коробка под 18 автоматом- Орех,32.29,10,img/91006-2.png
1,91118,Коробка под 18 автоматом внутреняя,22.99,10,img/91106.png
1,91118-1,Коробка под 18 автоматом- Бук,27.64,10,img/91006-1.png
1,91118-2,Коробка под 18 автомат- Орех,27.64,10,img/91006-2.png
1,91024,Коробка под 24 автоматом Наружная,25.30,10,img/91016.png
1,91024-1,Коробка под 24 автоматом- Бук,31.49,10,img/91016-1.png
1,91024-2,Коробка под 24 автоматом- Орех,31.49,10,img/91016-2.png
1,91124,Коробка под 24 автоматом внутреняя,25.30,10,img/91116.png
1,91124-1,Коробка под 24 автоматом- Бук,28.26,10,img/91016-1.png
1,91124-2,Коробка под 24 автоматом- Орех,28.26,10,img/91016-2.png
1,91036,Коробка под 36 автоматом Наружная,30.96,10,img/91136.png
1,91036-1,Коробка под 36 автоматом- Бук,38.92,10,img/91036-1.png
1,91036-2,Коробка под 36 автоматом - Орех ,"38,92",10,img/91036-2.png
1,91136,Коробка под 36 автоматом внутреняя,30.96,10,img/91136.png
1,91136-1,Коробка под 36 автоматом- Бук,34.80,10,img/91036-1.png
1,91036-2,Коробка под 36 автоматом- Орех,38.92,10,img/91036-2.png
