Show,Code,Name,Cost,OnBox,Img
1,10001,Разветлитель двойной с заземлен.,4.87,160,/dist/images/de-pa-electric/group-socket-and-plug/10001.png
1,10004,Разветлитель квадратный четвертной с заземлен.,6.82,24,/dist/images/de-pa-electric/group-socket-and-plug/10004.png
1,10009 white,Разветлитель тройной треугол. с заземл. (Белый),5.83,48,/dist/images/de-pa-electric/group-socket-and-plug/10009-white.png
1,10009 grey,Разветлитель тройной треугол. с заземл. (Серый),5.83,48,/dist/images/de-pa-electric/group-socket-and-plug/10009-grey.png
1,10009 black,Разветлитель тройной треугол. с заземл. (Черный),5.83,48,/dist/images/de-pa-electric/group-socket-and-plug/10009-black.png
1,10011,Разветлитель тройной с заземлен.,5.83,28,/dist/images/de-pa-electric/group-socket-and-plug/10011.png
1,10105,Удлинитель 4\5м.с заземлен.квадрт.,13.14,20,/dist/images/de-pa-electric/group-socket-and-plug/10105.png
1,10107,Удлинитель с заземлен. 7 метров.,17.20,20,/dist/images/de-pa-electric/group-socket-and-plug/10105.png
1,10110,Удлинитель с заземлен. 10 метров.,22.91,20,/dist/images/de-pa-electric/group-socket-and-plug/10105.png
1,10115,Удлинитель с заземлен. 15 метров.,32.42,10,/dist/images/de-pa-electric/group-socket-and-plug/10105.png
1,11118,Разветлитель англ.с подсветкой (White),4.43,180,/dist/images/de-pa-electric/group-socket-and-plug/11118.png
1,10120,Удлинитель с заземлен. 20 метров.,41.70,10,/dist/images/de-pa-electric/group-socket-and-plug/10105.png
1,10130,Удлинитель с заземлен. 30 метров.,60.01,5,/dist/images/de-pa-electric/group-socket-and-plug/10105.png
1,10150,Удлинитель с заземлен. 50 метров.,95.92,5,/dist/images/de-pa-electric/group-socket-and-plug/10105.png
1,11106 white,Разветлитель тройной маленький,1.19,500,/dist/images/de-pa-electric/group-socket-and-plug/11106.png
1,11106 black,Разветлитель тройной маленький (Черный),1.19,500,/dist/images/de-pa-electric/group-socket-and-plug/11106.png
1,11107 white,Разветлитель пятерной,1.42,500,/dist/images/de-pa-electric/group-socket-and-plug/11107.png
1,11107 black,Разветлитель пятерной (Черный),1.42,500,/dist/images/de-pa-electric/group-socket-and-plug/11107.png
1,11108 white,(British) разветлитель английский,1.55,500,/dist/images/de-pa-electric/group-socket-and-plug/11108.png
1,11108 black,(British) разветлитель английский (Черный),1.55,500,/dist/images/de-pa-electric/group-socket-and-plug/11108.png
1,11117 white,Разветлитель универсальный,03.01,500,/dist/images/de-pa-electric/group-socket-and-plug/11117.png
1,11117 black,Разветлитель универсальный (Черный),03.01,500,/dist/images/de-pa-electric/group-socket-and-plug/11117.png
1,11118 -UK,Разветлитель англ.с подсветкой (с английской вилкой),,,/dist/images/de-pa-electric/group-socket-and-plug/11118.png
