Show,Code,Name,Cost,OnBox,Img
1,10000,"Колодка 4 гнезда с заземлен. квадратная ""Жемчужина""",6.16,12,/dist/images/de-pa-electric/pearl-series/10000.png
1,10002,"Удлинитель 4\2м.с заземлен. квадрт. ""Жемчужина""",13.93,12,/dist/images/de-pa-electric/pearl-series/10000.png
1,10003,"Удлинитель 4\3м.с заземлен.квадрт. ""Жемчужина""",15.83,12,/dist/images/de-pa-electric/pearl-series/10000.png
1,10005,"Удлинитель 4\5м.с заземлен.квадрт. ""Жемчужина""",20.21,12,/dist/images/de-pa-electric/pearl-series/10000.png
1,10010,"Удленитель 10м с заземлением. квадрат. ""Жемчужина""",26.98,12,/dist/images/de-pa-electric/pearl-series/10000.png
1,12100,"Колодка 12 гнезд c зазмлен. ""Жемчужина""",22.28,24,/dist/images/de-pa-electric/pearl-series/12100.png
1,12102,"Удлинитель 12/2 м c зазмлен . ""Жемчужина""",28.56,12,/dist/images/de-pa-electric/pearl-series/12100.png
1,12103,"Удлинитель 12/3 м c зазмлен . ""Жемчужина""",30.52,12,/dist/images/de-pa-electric/pearl-series/12100.png
1,12105,"Удлинитель 12/3 м c зазмлен . ""Жемчужина""",34.58,12,/dist/images/de-pa-electric/pearl-series/12100.png
1,20100,"Колодка 2 гнезда c заземлен. "" Жемчужина""",3.37,24,/dist/images/de-pa-electric/pearl-series/20100.png
1,20102,"Удлинитель 2/2м. c заземлен."" Жемчужина""",9.77,12,/dist/images/de-pa-electric/pearl-series/20100.png
1,20103,"Удлинитель 2/3м. c заземлен."" Жемчужина""",11.63,12,/dist/images/de-pa-electric/pearl-series/20100.png
1,20105,"Удлинитель 2/5м. c заземлен. "" Жемчужина""",15.66,12,/dist/images/de-pa-electric/pearl-series/20100.png
1,20200,"Удлинитель 2 гнезда с заземлением выключателем, ups",4.33,24,/dist/images/de-pa-electric/pearl-series/20100.png
1,20202,"Удлинитель 2/2м. с заземлением выключателем, ups",11.23,12,/dist/images/de-pa-electric/pearl-series/20100.png
