Show,Code,Name,Cost,OnBox,Img
1,920100,"Колодка 2 гнезда c заземлением ""Звезда""",3.18,24,/dist/images/de-pa-electric/star-series/920100.png
1,920102,"Удлинитель 2/2м c заземлением ""Звезда""",9.28,12,/dist/images/de-pa-electric/star-series/920100.png
1,920103,"Удлинитель 2/3м c заземлением ""Звезда""",11.06,12,/dist/images/de-pa-electric/star-series/920100.png
1,920105,"Удлинитель 2/5м c заземлением ""Звезда""",14.87,12,/dist/images/de-pa-electric/star-series/920100.png
1,920200,"Колодка 2 гнезда c заземлен. с UPS ""Звезда""",4.12,24,/dist/images/de-pa-electric/star-series/920100.png
1,920202,"Удлинитель 2/2м c заземлен.с UPS ""Звезда""",10.66,12,/dist/images/de-pa-electric/star-series/920100.png
1,921100,"Колодка 2 гнезда c заземлен. с выкл. ""Звезда""",5.35,24,/dist/images/de-pa-electric/star-series/921100.png
1,921102,"Удлинитель 2/2м c заземлен. с выкл. ""Звезда""",12.08,12,/dist/images/de-pa-electric/star-series/921100.png
1,921103,"Удлинитель 2/3м.c заземлен. с выкл. ""Звезда""",13.85,12,/dist/images/de-pa-electric/star-series/921100.png
1,921105,"Удлинитель 2/5м.c заземлен. с выкл. ""Звезда""",17.42,12,/dist/images/de-pa-electric/star-series/921100.png
1,921200,Колодка 2 гнезда c заземлен. с выкл с UPS,7.61,24,/dist/images/de-pa-electric/star-series/921100.png
1,921202,Удлинитель 2/2м.c заземлен. с выкл.с UPS,12.96,12,/dist/images/de-pa-electric/star-series/921100.png
1,930100,"Колодка 3 гнезда c заземлением ""Звезда""",4.30,24,/dist/images/de-pa-electric/star-series/930100.png
1,930102,"Удлинитель 3/2м. c заземлением ""Звезда""",10.26,12,/dist/images/de-pa-electric/star-series/930100.png
1,930103,"Удлинитель 3/3м. c заземлением ""Звезда""",12.11,12,/dist/images/de-pa-electric/star-series/930100.png
1,930105,"Удлинитель 3/5м. c заземлением ""Звезда""",15.96,12,/dist/images/de-pa-electric/star-series/930100.png
1,930110,"Удленитель 3/10м. с заземлением ""Звезда""",21.76,12,/dist/images/de-pa-electric/star-series/930100.png
1,930200,Колодка 3 гнезда c заземлен. с UPS,5.53,24,/dist/images/de-pa-electric/star-series/930100.png
1,930202,Удлинитель 3/2м. c заземлен.с выкл.с UPS,11.72,12,/dist/images/de-pa-electric/star-series/930100.png
1,931100,"Колодка 3 гнезда c заземлен. с выкл. ""Звезда""",6.46,24,/dist/images/de-pa-electric/star-series/931100.png
1,931102,"Удлинитель 3/2м. c заземлен. с выкл. ""Звезда""",12.42,12,/dist/images/de-pa-electric/star-series/931100.png
1,931103,"Удлинитель 3/3м. c заземлен. с выкл. ""Звезда""",14.28,12,/dist/images/de-pa-electric/star-series/931100.png
1,931105,"Удлинитель 3/5м. c заземлен. с выкл. ""Звезда""",18.31,12,/dist/images/de-pa-electric/star-series/931100.png
1,931200,Колодка 3 гнезда c заземлен. с выкл с UPS,8.48,24,/dist/images/de-pa-electric/star-series/931200.jpg
1,931202,Удлинитель 3/2м. c заземлен. с выкл.с UPS,14.33,12,/dist/images/de-pa-electric/star-series/931200.jpg
1,931203,,,,/dist/images/de-pa-electric/star-series/931200.jpg
1,931205,,,,/dist/images/de-pa-electric/star-series/931200.jpg
1,940100,"Колодка 4 гнезда c заземлен. ""Звезда""",5.51,24,/dist/images/de-pa-electric/star-series/940100.png
1,940102,"Удлинитель 4/2м c заземлен. ""Звезда""",11.47,12,/dist/images/de-pa-electric/star-series/940100.png
1,940103,"Удлинитель 4/3м.c заземлен. ""Звезда""",13.32,12,/dist/images/de-pa-electric/star-series/940100.png
