Code,Name,Cost,OnBox,Img
10001,Разветлитель двойной с заземлен.,"6,09",160,10001.png
10004,Разветлитель квадратный четвертной с заземлен.,"8,53",24,10004.png
10009 white,Разветлитель тройной треугол. с заземл. (Белый),"7,29",48,10009-white.png
10009 grey,Разветлитель тройной треугол. с заземл. (Серый),"7,29",48,10009-grey.png
10009 black,Разветлитель тройной треугол. с заземл. (Черный),"7,29",48,10009-black.png
10011,Разветлитель тройной с заземлен.,"7,29",28,10011.png
10105,Удлинитель 4\5м.с заземлен.квадрт.,"16,43",20,10105.png
10107,Удлинитель с заземлен. 7 метров.,"21,50",20,10105.png
10110,Удлинитель с заземлен. 10 метров.,"28,64",20,10105.png
10115,Удлинитель с заземлен. 15 метров.,"40,53",10,10105.png
10120,Удлинитель с заземлен. 20 метров.,"52,13",10,10105.png
10130,Удлинитель с заземлен. 30 метров.,"75,01",5,10105.png
10150,Удлинитель с заземлен. 50 метров.,"119,90",5,10105.png
11106 white,Разветлитель тройной маленький,"1,49",500,11106.png
11106 black,Разветлитель тройной маленький (Черный),"1,49",500,11106.png
11107 white,Разветлитель пятерной,"1,78",500,11107.png
11107 black,Разветлитель пятерной (Черный),"1,78",500,11107.png
11108 white,(British) разветлитель английский,"1,94",500,11108.png
11108 black,(British) разветлитель английский (Черный),"1,94",500,11108.png
11117 white,Разветлитель универсальный,"3,76",500,11117.png
11117 black,Разветлитель универсальный (Черный),"3,76",500,11117.png
11118,Разветлитель англ.с подсветкой (White),"5,54",180,11118.png
11118 -UK,Разветлитель англ.с подсветкой (с английской вилкой),"5,54",180,11118.png
