Code,Name,Cost,OnBox,Img
10000,"Колодка 4 гнезда с заземлен. квадратная ""Жемчужина",9.63,12,10000.png
10002,"Удлинитель 4\2м.с заземлен. квадрт. ""Жемчужина",21.76,12,10000.png
10003,"Удлинитель 4\3м.с заземлен.квадрт. ""Жемчужина",24.74,12,10000.png
10005,"Удлинитель 4\5м.с заземлен.квадрт. ""Жемчужина",31.58,12,10000.png
10010,"Удленитель 10м с заземлением. квадрат. ""Жемчужина",42.16,12,10000.png
12100,"Колодка 12 гнезд c зазмлен. ""Жемчужина",34.81,24,12100.png
12102,"Удлинитель 12/2 м c зазмлен . ""Жемчужина",44.63,12,12100.png
12103,"Удлинитель 12/3 м c зазмлен . ""Жемчужина",47.69,12,12100.png
12105,"Удлинитель 12/3 м c зазмлен . ""Жемчужина",54.04,12,12100.png
20100,"Колодка 2 гнезда c заземлен. "" Жемчужина",5.26,24,20100.png
20102,"Удлинитель 2/2м. c заземлен."" Жемчужина",15.26,12,20100.png
20103,"Удлинитель 2/3м. c заземлен."" Жемчужина",18.18,12,20100.png
20105,"Удлинитель 2/5м. c заземлен. "" Жемчужина",24.48,12,20100.png
20200,"Удлинитель 2 гнезда с заземлением выключателем, ups",6.76,24,20100.png
20202,"Удлинитель 2/2м. с заземлением выключателем, ups",17.55,12,20100.png
30000,"Колодка 3 гнезда без заземлен.""Жемчужина",5.26,30,30000.png
30002,"Удлинитель 3/2м. без заземлен.""Жемчужина",12.50,20,30000.png
30003,"Удлинитель 3/3 м. без заземлен.""Жемчужина",15.26,20,30000.png
30005,"Удлинитель 3/5 м .без заземлен.""Жемчужина",19.98,20,30000.png
30010,"Удлинитель 3/10 м .без заземлен.""Жемчужина",35.25,20,30000.png
30100,"Колодка 3 гнезда c заземлен . "" Жемчужина",7.05,24,30100.png
30102,"Удлинитель 3/2м. c заземлен. с выкл. "" Жемчужина",16.86,12,30100.png
30103,"Удлинитель 3/3 м. с заземлен. с выкл. "" Жемчужина",19.91,12,30100.png
30105,"Удлинитель 3/5 м. без заземлен. с выкл "" Жемчужина",26.25,12,30100.png
30200,Колодка 3 гнезда с заземлением с терминалом с UPS,8.64,24,30100.png
30202,Удленитель 3/2м. с заземлением с выключателем с UPS,18.31,12,30100.png
31000,"Колодка 3 гнезда без заземлен. с выкл. ""Жемчужина",9.48,30,31000.png
31002,"Удлинитель 3/2м .без заземлен. с выкл. ""Жемчужина",16.31,20,31000.png
31003,"Удлинитель 3/3 м .без заземлен. с выкл. ""Жемчужина",19.20,20,31000.png
31005,"Удлинитель 3/3 м .без заземлен. с выкл. ""Жемчужина",23.98,20,31000.png
31010,"Удлинитель 3/10 м .без заземлен. с выкл ""Жемчужина",38.70,10,31000.png
31100,"Колодка 3 гнезда c заземлен . с выкл. "" Жемчужина",10.66,24,31100.png
31102,"Удлинитель 3/2м. c заземлен. с выкл. "" Жемчужина",20.45,12,31100.png
31103,"Удлинитель 3/3м. c заземлен. с выкл. "" Жемчужина",23.50,12,31100.png
31105,"Удлинитель 3/5м. c заземлен. с выкл. "" Жемчужина",30.13,12,31100.png
31200,Колодка 3 гнезда c заземлен. с выкл. - UPS,13.98,24,31100.png
31202,Удлинитель 3/2м. c заземлен. с выкл. -UPS,23.55,12,31100.png
40000,"Колодка 4 гнезда без заземлен. ""Жемчужина",6.98,30,40000.png
40002,"Удлинитель 4/2м. без заземлен. ""Жемчужина",14.24,20,40000.png
40003,"Удлинитель 4/3м . без заземлен. ""Жемчужина",16.73,20,40000.png
40005,"Удлинитель 4/5м . без заземлен. ""Жемчужина",21.76,20,40000.png
40010,"Удлинитель 4/10м . без заземлен. ""Жемчужина",35.25,,40000.png
40100,"Колодка 4 гнезда c заземлен. "" Жемчужина",9.06,24,40100.png
40102,"Удлинитель 4/2м. c заземлен. "" Жемчужина",18.88,12,40100.png
40103,"Удлинитель 4/3м/ c заземлен. "" Жемчужина",21.91,12,40100.png
40105,"Удлинитель 4/5м. c заземлен. "" Жемчужина",28.68,12,40100.png
40200,"Колодка 4 гнезда с заземлением с терминалом, с UPS",11.75,24,40100.png
40202,Удлинитель 4/2м. с заземлением с UPS,21.69,12,40100.png
41000,"Колодка 4 гнезда с выкл.без заземлен. ""Жемчужина",10.91,30,41000.png
41002,"Удлинитель 4/2м. с выкл.без.заземлен. ""Жемчужина",18.18,20,41000.png
41003,"Удлинитель 4/3м. с выкл.без.заземлен. ""Жемчужина",20.66,20,41000.png
41005,"Удлинитель 4/5м. с выкл.без.заземлен. ""Жемчужина",25.79,20,41000.png
41010,"Удлинитель 4/10м. с выкл.без.заземлен. ""Жемчужина",41.10,10,41000.png
41100,"Колодка 4 гнезда с заземл и выкл. "" Жемчужина",12.73,24,41100.png
41102,"Удлинитель 4/2м. c заземлен с выкл. "" Жемчужина",22.51,12,41100.png
41103,"Удлинитель 4/3м c заземлен. с выкл. "" Жемчужина",25.58,12,41100.png
41105,"Удлинитель 4/5м. c заземлен. с выкл. "" Жемчужина",32.25,12,41100.png
41200,Колодка 4 гнезда с заземл.с терминалом UPS,16.51,24,41100.png
41202,Удлинитель 4/2м. с заземлением с выкл с UPS,25.91,12,41100.png
50100,"Колодка 5 гнезд c зазмлен."" Жемчужина",11.26,24,50100.png
50102,"Удлинитель 5/2м. c зазмлен."" Жемчужина",21.44,12,50100.png
50103,"Удлинитель 5/3 м. c зазмлен."" Жемчужина",24.48,12,50100.png
50105,"Удлинитель 5/5 м. c зазмлен."" Жемчужина",31.23,12,50100.png
50200,Колодка 5 гнезд с заземл. с терминалом с UPS,14.64,24,50100.png
50202,Удлинитель 5/2м. с заземлением с UPS,24.60,12,50100.png
51100,"Колодка 5 гнезд c зазмлен. с выкл. "" Жемчужина",14.85,24,51100.png
51102,"Удлинитель 5/2м. c зазмлен. с выкл. "" Жемчужина",25.01,12,51100.png
51103,"Удлинитель 5/3 м. c зазмлен. с выкл. "" Жемчужина",28.05,12,51100.png
51105,"Удлинитель 5/5 м. c зазмлен. с выкл. "" Жемчужина",34.81,12,51100.png
51200,Колодка 5 гнезд с заземл. с выкл с терминалом c UPS,19.35,24,51100.png
51202,Удлинитель 5/2м. с заземлен. c выключателем с UPS,28.81,12,51100.png
60000,"Колодка 6 гнезда без.заземлен. ""Жемчужина",11.19,30,60000.png
60002,"Удлинитель 6/2м без.заземлен. ""Жемчужина",18.88,20,60000.png
60003,"Удлинитель 6/3м без.заземлен. ""Жемчужина",21.44,20,60000.png
60005,"Удлинитель 6/5м без.заземлен. ""Жемчужина",26.13,20,60000.png
60010,"Удлинитель 6/10м без.заземлен. ""Жемчужина",33.86,,60000.png
60100,"Колодка 6 гнезд c зазмлен.""Жемчужина",12.73,24,60100.png
60102,"Удлинитель 6/2м. c зазмлен.""Жемчужина",22.51,12,60100.png
60103,"Удлинитель 6/3 м. c зазмлен.""Жемчужина",25.91,12,60100.png
60105,"Удлинитель 6/5 м. c зазмлен.""Жемчужина",32.70,12,60100.png
60200,Колодка 6 гнезд c зазмлен. -UPS,16.51,24,60100.png
60202,Удлинитель 6/2м. c зазмлен.- UPS,25.91,12,60100.png
61000,"Колодка 6 гнезда .без.заземлен. с выкл. ""Жемчужина",15.55,30,61000.png
61002,"Удлинитель 6/2м .без.заземлен. с выкл. ""Жемчужина",23.24,20,61000.png
61003,"Удлинитель 6/3м без.заземлен. с выкл. ""Жемчужина",26.13,20,61000.png
61005,"Удлинитель 6/5м .без.заземлен. с выкл. ""Жемчужина",30.48,20,61000.png
61010,"Удлинитель 6/10м .без.заземлен. с выкл. ""Жемчужина",38.00,,61000.png
61100,"Колодка 6 гнезд c заз . с выкл. ""Жемчужина",16.31,24,61100.png
61102,"Удлинитель 6/2м c зазмлен . с выкл. ""Жемчужина",26.13,12,61100.png
61103,"Удлинитель 6/3м c зазмлен . с выкл.""Жемчужина",29.79,12,61100.png
61105,"Удлинитель 6/5м c зазмлен . с выкл.""Жемчужина",36.64,12,61100.png
61200,Колодка 6 гнезд c заз . с выкл.-UPS,28.54,24,61100.png
61202,Удлинитель 6/2м c зазмлен . с выкл.- UPS,30.06,12,61100.png
980100,"колодка 8 гнезд с заземлен. ""Жемчужина",23.24,28,980100.png
980102,"Удлинитель 8/2 м c зазмлен. ""Жемчужина",36.49,12,980100.png
980103,"Удлинитель 8/3 м c зазмлен.""Жемчужина",39.81,12,980100.png
980105,"Удлинитель 8/5 м c зазмлен. ""Жемчужина",49.75,12,980100.png
