Code,Name,Cost,OnBox,Img
338001,Вилка из каучука 16 А,"2,99",40,338001.png
338002,Штепсельное гнездо из каучука 16 А,"3,69",30,338002.png
338003,2 местная колодка с крышкой из каучука 16 А,"10,40",48,338003.png
338004,3 местная колодка с крышкой из каучука 16 А,"9,40",48,338004.png
338004-1,3 местная колодка с крышкой из каучука,"13,83",36,338004.png
338012,1 местная колодка с крышкой из каучука 16 А,"5,15",120,338012.png
338013,Каучуковая вилка трехфазная с заземлен.,"6,24",180,338013.png
338014,Гнездо с заземлением каучуковое трехфазное,"7,80",120,338014.png
338015,Колодка каучуковая трехфазная настенная с заземлен.,,72,338015.png
338016,Колодка каучуковая трехфазная на 2 гнезда с заземлен.,,36,338016.png
338017,Колодка каучуковая с одним трехфазным с одним монофазным выходом с заземлен.,,36,338017.png
338018,Колодка каучуковая с двумя трехфазными с одним монофазным выходом с заземлен.,,36,338018.png
338019,Колодка каучуковая трехфазная на 3 гнезда с заземлен.,,36,338019.png
338027," Колодка каучуковая с одним трехфазным с двумя монофазными выходами с заземлен.",,36,338027.png
