Code,Name,Cost,OnBox,Img
920100,"Колодка 2 гнезда c заземлением ""Звезда",4.98,24,920100.png
920102,"Удлинитель 2/2м c заземлением ""Звезда",14.50,12,920100.png
920103,"Удлинитель 2/3м c заземлением ""Звезда",17.29,12,920100.png
920105,"Удлинитель 2/5м c заземлением ""Звезда",23.24,12,920100.png
920200,"Колодка 2 гнезда c заземлен. с UPS ""Звезда",6.44,24,920100.png
920202,"Удлинитель 2/2м c заземлен.с UPS ""Звезда",16.66,12,920100.png
921100,"Колодка 2 гнезда c заземлен. с выкл. ""Звезда",8.36,24,921100.png
921102,"Удлинитель 2/2м c заземлен. с выкл. ""Звезда",18.88,12,921100.png
921103,"Удлинитель 2/3м.c заземлен. с выкл. ""Звезда",21.64,12,921100.png
921105,"Удлинитель 2/5м.c заземлен. с выкл. ""Звезда",27.23,12,921100.png
921200,Колодка 2 гнезда c заземлен. с выкл с UPS,11.89,24,921100.png
921202,Удлинитель 2/2м.c заземлен. с выкл.с UPS,20.25,12,921100.png
930100,"Колодка 3 гнезда c заземлением ""Звезда",6.73,24,930100.png
930102,"Удлинитель 3/2м. c заземлением ""Звезда",16.04,12,930100.png
930103,"Удлинитель 3/3м. c заземлением ""Звезда",18.93,12,930100.png
930105,"Удлинитель 3/5м. c заземлением ""Звезда",24.94,12,930100.png
930110,"Удлинитель 3/10м. с заземлением ""Звезда",34.00,12,930100.png
930200,Колодка 3 гнезда c заземлен. с UPS,8.64,24,930100.png
930202,Удлинитель 3/2м. c заземлен.с выкл.с UPS,18.31,12,930100.png
931100,"Колодка 3 гнезда c заземлен. с выкл. ""Звезда",10.10,24,931100.png
931102,"Удлинитель 3/2м. c заземлен. с выкл. ""Звезда",19.41,12,931100.png
931103,"Удлинитель 3/3м. c заземлен. с выкл. ""Звезда",22.31,12,931100.png
931105,"Удлинитель 3/5м. c заземлен. с выкл. ""Звезда",28.61,12,931100.png
931200,Колодка 3 гнезда c заземлен. с выкл с UPS,13.25,24,931200.jpg
931202,Удлинитель 3/2м. c заземлен. с выкл.с UPS,22.39,12,931200.jpg
931203,Удлинитель универсальный 3/3м. С заземлен. UPS (ФРАНЦ. СИСТЕМА),22.31,12,931200.jpg
931205,Удлинитель универсальный 3/5м. С заземлен. UPS (ФРАНЦ. СИСТЕМА),28.61,12,931200.jpg
940100,"Колодка 4 гнезда c заземлен. ""Звезда",8.61,24,940100.png
940102,"Удлинитель 4/2м c заземлен. ""Звезда",17.93,12,940100.png
940103,"Удлинитель 4/3м.c заземлен. ""Звезда",20.81,12,940100.png
940105,"Удлинитель 4/5м.c заземлен. ""Звезда",27.25,12,940100.png
940110,"Удленитель 4/10м. С заземлен. ""Звезда",36.64,12,940100.png
940200,Колодка 4 гнезда c заземлен. с UPS,11.19,24,940100.png
940202,Удлинитель 4/2м.c заземлен.с выкл.с UPS,20.60,12,940100.png
941100,"Колодка 4 гнезда c заземлен. с выкл. ""Звезда",12.73,24,941100.png
941102,"Удлинитель 4/2м. c зазлен. с выкл.""Звезда",22.51,12,941100.png
941103,"Удлинитель 4/3м.c зазлен. с выкл.""Звезда",25.58,12,941100.png
941105,"Удлинитель 4/5м.c зазлен. с выкл.""Звезда",32.25,12,941100.png
941110,"Удлинитель 4/10м.c зазлен. с выкл.""Звезда",42.08,12,941100.png
941200,Колодка 4 гнезда c заземлен. с выкл. с UPS,15.68,12,941200.jpg
941202,Удлинитель 4/2м.c зазлен. с выкл. с UPS,24.60,12,941200.jpg
941203,Удлинитель UPS 4/3м. с з/м (французкая система),25.58,12,941200.jpg
941205,Удлинитель UPS 4/5м. с з/м (французкая система),32.25,12,941200.jpg
950100,"Колодка 5 гнезд серия ""Звезда"" с зазамлен.",11.33,24,950100.png
950102,"Удленитель 5 гнезд серия ""Звезда"" с з/к 2м",20.94,24,950100.png
950103,"Удленитель 5 гнезд серия ""Звезда"" с з/к 3м",23.91,24,950100.png
950105,"Удленитель 5 гнезд серия ""Звезда"" с з/к 5м",30.55,24,950100.png
951100,"Колодка 5 гнезд с заземлен. с выкл.""Звезда",14.85,24,951100.png
960100,"Колодка 6 гнезд с заземлен.""Звезда",12.10,24,960100.png
960102,"Удлинитель 6/2м. с заземлен.""Звезда",21.39,12,960100.png
960103,"Удлинитель 6/3м. с заземлен.""Звезда",24.60,12,960100.png
960105,"Удлинитель 6/5м. с заземлен.""Звезда",31.05,12,960100.png
960200,Колодка 6 гнезда c заземлен. с UPS,15.68,24,960100.png
960202,Удлинитель 6/2м. c зазлен. с выкл. с UPS,24.60,12,960100.png
961100,"Колодка 6 гнезд c заземлен. с выкл.""Звезда",15.49,24,961100.png
961102,"Удлинитель 6/2м.c заземлен.с выкл.""Звезда",24.81,12,961100.png
961103,"Удлинитель 6/3м.c заземлен.с выкл.""Звезда",28.30,12,961100.png
961105,"Удлинитель 6/5м.c заземлен.с выкл.""Звезда",34.80,12,961100.png
961200,Колодка 6 гнезд c заземлен. с выкл.-UPS,27.08,12,961100.png
961202,Удлинитель 6/2м.c заземлен.с выкл.-UPS,28.54,12,961100.png
