Code,Name,Cost,OnBox,Img
920100,"Колодка 2 гнезда c заземлением ""Звезда","3,98",24,920100.png
920102,"Удлинитель 2/2м c заземлением ""Звезда","11,60",12,920100.png
920103,"Удлинитель 2/3м c заземлением ""Звезда","13,83",12,920100.png
920105,"Удлинитель 2/5м c заземлением ""Звезда","18,59",12,920100.png
920200,"Колодка 2 гнезда c заземлен. с UPS ""Звезда","5,15",24,920100.png
920202,"Удлинитель 2/2м c заземлен.с UPS ""Звезда","13,33",12,920100.png
921100,"Колодка 2 гнезда c заземлен. с выкл. ""Звезда","6,69",24,921100.png
921102,"Удлинитель 2/2м c заземлен. с выкл. ""Звезда","15,10",12,921100.png
921103,"Удлинитель 2/3м.c заземлен. с выкл. ""Звезда","17,31",12,921100.png
921105,"Удлинитель 2/5м.c заземлен. с выкл. ""Звезда","21,78",12,921100.png
921200,Колодка 2 гнезда c заземлен. с выкл с UPS,"9,51",24,921100.png
921202,Удлинитель 2/2м.c заземлен. с выкл.с UPS,"16,20",12,921100.png
930100,"Колодка 3 гнезда c заземлением ""Звезда","5,38",24,930100.png
930102,"Удлинитель 3/2м. c заземлением ""Звезда","12,83",12,930100.png
930103,"Удлинитель 3/3м. c заземлением ""Звезда","15,14",12,930100.png
930105,"Удлинитель 3/5м. c заземлением ""Звезда","19,95",12,930100.png
930110,"Удлинитель 3/10м. с заземлением ""Звезда","27,20",12,930100.png
930200,Колодка 3 гнезда c заземлен. с UPS,"6,91",24,930100.png
930202,Удлинитель 3/2м. c заземлен.с выкл.с UPS,"14,65",12,930100.png
931100,"Колодка 3 гнезда c заземлен. с выкл. ""Звезда","8,08",24,931100.png
931102,"Удлинитель 3/2м. c заземлен. с выкл. ""Звезда","15,53",12,931100.png
931103,"Удлинитель 3/3м. c заземлен. с выкл. ""Звезда","17,85",12,931100.png
931105,"Удлинитель 3/5м. c заземлен. с выкл. ""Звезда","22,89",12,931100.png
931200,Колодка 3 гнезда c заземлен. с выкл с UPS,"10,60",24,931200.jpg
931202,Удлинитель 3/2м. c заземлен. с выкл.с UPS,"17,91",12,931200.jpg
931203,Удлинитель универсальный 3/3м. С заземлен. UPS (ФРАНЦ. СИСТЕМА),"17,85",12,931200.jpg
931205,Удлинитель универсальный 3/5м. С заземлен. UPS (ФРАНЦ. СИСТЕМА),"22,89",12,931200.jpg
940100,"Колодка 4 гнезда c заземлен. ""Звезда","6,89",24,940100.png
940102,"Удлинитель 4/2м c заземлен. ""Звезда","14,34",12,940100.png
940103,"Удлинитель 4/3м.c заземлен. ""Звезда","16,65",12,940100.png
940105,"Удлинитель 4/5м.c заземлен. ""Звезда","21,80",12,940100.png
940110,"Удленитель 4/10м. С заземлен. ""Звезда","29,31",12,940100.png
940200,Колодка 4 гнезда c заземлен. с UPS,"8,95",24,940100.png
940202,Удлинитель 4/2м.c заземлен.с выкл.с UPS,"16,48",12,940100.png
941100,"Колодка 4 гнезда c заземлен. с выкл. ""Звезда","10,18",24,941100.png
941102,"Удлинитель 4/2м. c зазлен. с выкл.""Звезда","18,01",12,941100.png
941103,"Удлинитель 4/3м.c зазлен. с выкл.""Звезда","20,46",12,941100.png
941105,"Удлинитель 4/5м.c зазлен. с выкл.""Звезда","25,80",12,941100.png
941110,"Удлинитель 4/10м.c зазлен. с выкл.""Звезда","33,66",12,941100.png
941200,Колодка 4 гнезда c заземлен. с выкл. с UPS,"12,54",12,941200.jpg
941202,Удлинитель 4/2м.c зазлен. с выкл. с UPS,"19,68",12,941200.jpg
941203,Удлинитель UPS 4/3м. с з/м (французкая система),"20,46",12,941200.jpg
941205,Удлинитель UPS 4/5м. с з/м (французкая система),"25,80",12,941200.jpg
950100,"Колодка 5 гнезд серия ""Звезда"" с зазамлен.","9,06",24,950100.png
950102,"Удленитель 5 гнезд серия ""Звезда"" с з/к 2м","16,75",24,950100.png
950103,"Удленитель 5 гнезд серия ""Звезда"" с з/к 3м","19,13",24,950100.png
950105,"Удленитель 5 гнезд серия ""Звезда"" с з/к 5м","24,44",24,950100.png
951100,"Колодка 5 гнезд с заземлен. с выкл.""Звезда","11,88",24,951100.png
960100,"Колодка 6 гнезд с заземлен.""Звезда","9,68",24,960100.png
960102,"Удлинитель 6/2м. с заземлен.""Звезда","17,11",12,960100.png
960103,"Удлинитель 6/3м. с заземлен.""Звезда","19,68",12,960100.png
960105,"Удлинитель 6/5м. с заземлен.""Звезда","24,84",12,960100.png
960200,Колодка 6 гнезда c заземлен. с UPS,"12,54",24,960100.png
960202,Удлинитель 6/2м. c зазлен. с выкл. с UPS,"19,68",12,960100.png
961100,"Колодка 6 гнезд c заземлен. с выкл.""Звезда","12,39",24,961100.png
961102,"Удлинитель 6/2м.c заземлен.с выкл.""Звезда","19,85",12,961100.png
961103,"Удлинитель 6/3м.c заземлен.с выкл.""Звезда","22,64",12,961100.png
961105,"Удлинитель 6/5м.c заземлен.с выкл.""Звезда","27,84",12,961100.png
961200,Колодка 6 гнезд c заземлен. с выкл.-UPS,"21,66",12,961100.png
961202,Удлинитель 6/2м.c заземлен.с выкл.-UPS,"22,83",12,961100.png
